Nome;Sobrenome;NomeCompleto;NomeUsuario;Email;Senha;Administrador;CPF;Telefone;RazaoSocial;CNPJ;Endereco;NumeroEndereco;Cidade;Estado;CEP;Pais;NumeroCartao;ValidadeCartao;NomeProduto;Preco;DescricaoProduto;Quantidade;NomeCategoria;DescricaoCategoria;TituloArtigo;ConteudoArtigo;NomeAutor;DataPublicacao;ID_USUARIO;STATUS_CADASTRO
="Adela";="Jast";="Adela Jast";="adela.jast";="jast.adela@yahoo.com";="JasAd57";="true";="73271982457";="18064405412";="Adela Jast LTDA";="52367066000118";="Kuhlman Isle";="85933";="Douglasburgh";="Mississippi";="57227580";="Bangladesh";="4532885291607235";="05/26";="Soundbar Premium";="1702.68";="Um excelente soundbar premium da categoria Redes e Conectividade, ideal para suas necessidades.";="44";="Redes e Conectividade";="Descricao para a categoria Redes e Conectividade";="Os Beneficios da Atividade Fisica";="Este e um artigo sobre Os Beneficios da Atividade Fisica. O foco principal e em Atividade Fisica no campo da Saude e Bem-Estar.";="Adela Jast";="2025-08-29T21:03:36.217Z";"=""a10c887b-5c86-432c-8815-4d183b60c563""";"=""Cadastrado com sucesso"""
="Enrique";="Swaniawski";="Enrique Swaniawski";="enrique.swaniawski";="swaniawski.enrique@yandex.com";="SwaEn67";="true";="67988898167";="16803972686";="Enrique Swaniawski LTDA";="43017484000194";="Simonis Route";="44554";="Labadietown";="Missouri";="75588673";="Swaziland";="6011172881342662";="08/27";="Mesa Digitalizadora Ultra-fino";="2710.14";="Um excelente mesa digitalizadora ultra-fino da categoria Redes e Conectividade, ideal para suas necessidades.";="90";="Redes e Conectividade";="Descricao para a categoria Redes e Conectividade";="5 Tendencias em Blockchain";="Introducao ao topico 5 Tendencias em Blockchain. Discutimos os conceitos basicos de Blockchain aplicados a Tecnologia.";="Enrique Swaniawski";="2025-08-29T21:03:37.169Z";"=""3468d0e9-d7f4-4117-b6a8-b618ed20231a""";"=""Cadastrado com sucesso"""
="Zander";="Greenholt";="Zander Greenholt";="zander.greenholt";="greenholt.zander@bol.com.br";="GreZa34";="true";="18449395534";="14409202724";="Zander Greenholt LTDA";="91479394000168";="Waelchi Hollow";="3692";="New Walterview";="South Dakota";="95970419";="Montenegro";="4878117421550743";="06/27";="Teclado Mecanico Customizavel";="4236.93";="Um excelente teclado mecanico customizavel da categoria Energia, ideal para suas necessidades.";="82";="Energia";="Descricao para a categoria Energia";="Analise Tatica do Formula 1";="Este e um artigo sobre Analise Tatica do Formula 1. O foco principal e em Formula 1 no campo da Esportes.";="Zander Greenholt";="2025-08-29T21:03:38.199Z";"=""87b03f17-3206-4146-95c4-728dac4811b0""";"=""Cadastrado com sucesso"""
="Daron";="Gleichner";="Daron Gleichner";="daron.gleichner";="gleichner.daron@icloud.com";="GleDa26";="true";="75665665126";="17653368839";="Daron Gleichner LTDA";="39626649000158";="Simonis Square";="8986";="West Pedrofurt";="New Jersey";="77717808";="Cambodia";="6011270610301668";="03/28";="Gabinete ATX Ergonomica";="2199.54";="Um excelente gabinete atx ergonomica da categoria Eletronicos, ideal para suas necessidades.";="26";="Eletronicos";="Descricao para a categoria Eletronicos";="Uma Introducao a Leis de Newton";="Este e um artigo sobre Uma Introducao a Leis de Newton. O foco principal e em Leis de Newton no campo da Ciencia e Fisica.";="Daron Gleichner";="2025-08-29T21:03:39.169Z";"=""8ee37b1e-1a91-4a34-84ef-4400c581674d""";"=""Cadastrado com sucesso"""
="Arthur";="Robel";="Arthur Robel";="arthur.robel";="robel.arthur@zoho.com";="RobAr65";="true";="42308199865";="12136747050";="Arthur Robel LTDA";="03302574000102";="Dario Crescent";="3512";="Michaelafort";="Alabama";="41806280";="Christmas Island";="346456928413886";="07/28";="HD Externo Versatil";="2338.32";="Um excelente hd externo versatil da categoria Casa Inteligente, ideal para suas necessidades.";="1";="Casa Inteligente";="Descricao para a categoria Casa Inteligente";="Os Maiores Momentos do Tenis";="Uma analise sobre o tema Os Maiores Momentos do Tenis. Exploramos a relevancia de Tenis para a area de Esportes.";="Arthur Robel";="2025-08-29T21:03:40.169Z";"=""09b2158e-18dc-4228-a2f4-9144655c690e""";"=""Cadastrado com sucesso"""
="Lee";="Dare";="Lee Dare";="lee.dare";="dare.lee@terra.com.br";="DarLe50";="true";="26151922050";="16268422636";="Lee Dare LTDA";="54810795000122";="Monserrat Motorway";="5326";="North Jacinthemouth";="Nevada";="11296698";="Ethiopia";="379336791026231";="07/28";="Microfone Condensador Resistente";="3565.28";="Um excelente microfone condensador resistente da categoria Casa Inteligente, ideal para suas necessidades.";="68";="Casa Inteligente";="Descricao para a categoria Casa Inteligente";="O Impacto Cultural de Universo Marvel";="Este e um artigo sobre O Impacto Cultural de Universo Marvel. O foco principal e em Universo Marvel no campo da Cultura Pop.";="Lee Dare";="2025-08-29T21:03:41.200Z";"=""7a786df9-09b3-43f0-8955-26289c7a52c8""";"=""Cadastrado com sucesso"""
="Fred";="Grimes";="Fred Grimes";="fred.grimes";="grimes.fred@ig.com.br";="GriFr71";="true";="80905704371";="17868830289";="Fred Grimes LTDA";="23262149000144";="Wilmer Coves";="995";="South Abner";="Alaska";="31587814";="Guam";="4024007178989611";="07/27";="Processador Compacto";="2731.43";="Um excelente processador compacto da categoria Fotografia, ideal para suas necessidades.";="89";="Fotografia";="Descricao para a categoria Fotografia";="10 Dicas para Melhorar sua Saude Mental";="Introducao ao topico 10 Dicas para Melhorar sua Saude Mental. Discutimos os conceitos basicos de Saude Mental aplicados a Saude e Bem-Estar.";="Fred Grimes";="2025-08-29T21:03:42.262Z";"=""bd05bafd-6f21-4c6d-bc4b-ab0d8ea633d2""";"=""Cadastrado com sucesso"""
="Isabell";="Gleichner";="Isabell Gleichner";="isabell.gleichner";="gleichner.isabell@icloud.com";="GleIs74";="true";="60188700374";="12604048041";="Isabell Gleichner LTDA";="12153147000109";="Nader Street";="329";="New Gwendolynshire";="Massachusetts";="32352781";="Turks and Caicos Islands";="4485430437768877";="12/26";="Notebook Veloz";="194.59";="Um excelente notebook veloz da categoria Dispositivos Moveis, ideal para suas necessidades.";="27";="Dispositivos Moveis";="Descricao para a categoria Dispositivos Moveis";="O que Fazer em Patagonia";="Introducao ao topico O que Fazer em Patagonia. Discutimos os conceitos basicos de Patagonia aplicados a Viagens e Turismo.";="Isabell Gleichner";="2025-08-29T21:03:43.246Z";"=""9a3366fe-6eb6-486b-90a9-15d5d08373d9""";"=""Cadastrado com sucesso"""
="Clotilde";="Romaguera";="Clotilde Romaguera";="clotilde.romaguera";="romaguera.clotilde@fastmail.com";="RomCl83";="true";="01752327683";="15416353869";="Clotilde Romaguera LTDA";="91112409000155";="Hudson Locks";="72654";="East Robinmouth";="South Carolina";="04626603";="Austria";="2447832832967015";="12/27";="Mouse Gamer Compacto";="1955.06";="Um excelente mouse gamer compacto da categoria Redes e Conectividade, ideal para suas necessidades.";="56";="Redes e Conectividade";="Descricao para a categoria Redes e Conectividade";="O Papel da STEAM";="Este e um artigo sobre O Papel da STEAM. O foco principal e em STEAM no campo da Educacao.";="Clotilde Romaguera";="2025-08-29T21:03:44.281Z";"=""d4930b88-e2c8-4bcf-b790-26449a761ab3""";"=""Cadastrado com sucesso"""
="Lesley";="O Keefe";="Lesley O Keefe";="lesley.okeefe";="okeefe.lesley@fastmail.com";="KeeLe55";="true";="30983391955";="16198132374";="Lesley O Keefe LTDA";="61383992000178";="Fritsch Burgs";="33103";="Fredrickville";="Mississippi";="38614238";="Swaziland";="2221872372825803";="10/25";="Mesa Digitalizadora Moderno";="4795.19";="Um excelente mesa digitalizadora moderno da categoria Acessorios, ideal para suas necessidades.";="8";="Acessorios";="Descricao para a categoria Acessorios";="Como Revolucao Industrial Mudou a Historia";="Este e um artigo sobre Como Revolucao Industrial Mudou a Historia. O foco principal e em Revolucao Industrial no campo da Historia.";="Lesley O Keefe";="2025-08-29T21:03:45.264Z";"=""60177d82-e8b0-4d6e-b430-b3c45ef572cf""";"=""Cadastrado com sucesso"""
="Helene";="Cartwright";="Helene Cartwright";="helene.cartwright";="cartwright.helene@ig.com.br";="CarHe51";="true";="97750804951";="12205345717";="Helene Cartwright LTDA";="35974233000170";="Bahringer Courts";="934";="Swaniawskibury";="Florida";="15236210";="Saint Lucia";="6011381169356761";="02/28";="Impressora 3D Resistente";="4028.86";="Um excelente impressora 3d resistente da categoria Fotografia, ideal para suas necessidades.";="53";="Fotografia";="Descricao para a categoria Fotografia";="A Historia da Comida Vegana";="Uma analise sobre o tema A Historia da Comida Vegana. Exploramos a relevancia de Comida Vegana para a area de Gastronomia e Culinaria.";="Helene Cartwright";="2025-08-29T21:03:46.227Z";"=""64f35193-c4fb-43c1-939f-0b3251111e39""";"=""Cadastrado com sucesso"""
="Alysha";="O Connell";="Alysha O Connell";="alysha.oconnell";="oconnell.alysha@hotmail.com";="ConAl50";="true";="52090550350";="13325416713";="Alysha O Connell LTDA";="73692147000163";="Crona Trace";="9556";="McDermottside";="Kansas";="80898240";="Turkmenistan";="4716319632733060";="01/27";="Console de Videogame Resistente";="4354.87";="Um excelente console de videogame resistente da categoria Informatica, ideal para suas necessidades.";="11";="Informatica";="Descricao para a categoria Informatica";="O Legado do Antigo Egito na Sociedade";="Uma analise sobre o tema O Legado do Antigo Egito na Sociedade. Exploramos a relevancia de Antigo Egito para a area de Historia.";="Alysha O Connell";="2025-08-29T21:03:47.216Z";"=""9e278142-b085-4596-bdd3-01579aa12d1d""";"=""Cadastrado com sucesso"""
="Esperanza";="Price";="Esperanza Price";="esperanza.price";="price.esperanza@hotmail.com";="PriEs75";="true";="76513195675";="15414426389";="Esperanza Price LTDA";="66142557000175";="Maggio Island";="8979";="Hilarioberg";="Hawaii";="07259354";="Syrian Arab Republic";="4539041105808238";="09/25";="Teclado Mecanico Sustentavel";="1512.75";="Um excelente teclado mecanico sustentavel da categoria Eletronicos, ideal para suas necessidades.";="65";="Eletronicos";="Descricao para a categoria Eletronicos";="Porque Series de TV Continua Relevante";="Introducao ao topico Porque Series de TV Continua Relevante. Discutimos os conceitos basicos de Series de TV aplicados a Cultura Pop.";="Esperanza Price";="2025-08-29T21:03:48.293Z";"=""169fcf16-a676-4489-931d-e63f9c1ae41a""";"=""Cadastrado com sucesso"""
="Alvina";="Keebler";="Alvina Keebler";="alvina.keebler";="keebler.alvina@hotmail.com";="KeeAl63";="true";="07876948863";="15805317017";="Alvina Keebler LTDA";="00076687000149";="Zakary Place";="80820";="New Roseland";="Wyoming";="84100334";="United Arab Emirates";="4268094490057322";="06/26";="Gabinete ATX Essencial";="3442.08";="Um excelente gabinete atx essencial da categoria Componentes, ideal para suas necessidades.";="24";="Componentes";="Descricao para a categoria Componentes";="Como Guerra Fria Mudou a Historia";="Uma analise sobre o tema Como Guerra Fria Mudou a Historia. Exploramos a relevancia de Guerra Fria para a area de Historia.";="Alvina Keebler";="2025-08-29T21:03:49.263Z";"=""2bd6a591-194a-4bec-b353-e913164b6707""";"=""Cadastrado com sucesso"""
="Ted";="Gerhold";="Ted Gerhold";="ted.gerhold";="gerhold.ted@yandex.com";="GerTe04";="true";="74432165804";="13858673258";="Ted Gerhold LTDA";="11801001000151";="Tessie Orchard";="2978";="North Eladioburgh";="Florida";="32462786";="Liechtenstein";="2221759645971847";="02/27";="Smart TV 8K Conectado";="4001.68";="Um excelente smart tv 8k conectado da categoria Redes e Conectividade, ideal para suas necessidades.";="20";="Redes e Conectividade";="Descricao para a categoria Redes e Conectividade";="Como Inteligencia Artificial Esta Moldando o Mundo";="Uma analise sobre o tema Como Inteligencia Artificial Esta Moldando o Mundo. Exploramos a relevancia de Inteligencia Artificial para a area de Tecnologia.";="Ted Gerhold";="2025-08-29T21:03:50.231Z";"=""12ff74c2-0fcf-4353-a369-0c0a2886c411""";"=""Cadastrado com sucesso"""
="Anita";="Kris";="Anita Kris";="anita.kris";="kris.anita@gmail.com";="KriAn60";="true";="87756114060";="15757954224";="Anita Kris LTDA";="71573047000192";="Roma Land";="732";="Marysemouth";="Connecticut";="95524866";="Niue";="4977833169758039";="02/27";="Oculos de Realidade Virtual Versatil";="2742.10";="Um excelente oculos de realidade virtual versatil da categoria Games, ideal para suas necessidades.";="89";="Games";="Descricao para a categoria Games";="Analise Profunda de Industria dos Games";="Este e um artigo sobre Analise Profunda de Industria dos Games. O foco principal e em Industria dos Games no campo da Cultura Pop.";="Anita Kris";="2025-08-29T21:03:51.185Z";"=""003a5717-512d-48c9-bb2b-da88adb097ee""";"=""Cadastrado com sucesso"""
="Jedediah";="Gislason";="Jedediah Gislason";="jedediah.gislason";="gislason.jedediah@uol.com.br";="GisJe51";="true";="19533027851";="14044617525";="Jedediah Gislason LTDA";="29787222000188";="Isabelle Lakes";="967";="Larsonburgh";="West Virginia";="46732101";="Bahrain";="2670869624677871";="06/27";="Mouse Gamer Compacto";="651.86";="Um excelente mouse gamer compacto da categoria Impressao, ideal para suas necessidades.";="29";="Impressao";="Descricao para a categoria Impressao";="Como Investir em Criptomoedas";="Uma analise sobre o tema Como Investir em Criptomoedas. Exploramos a relevancia de Criptomoedas para a area de Financas e Investimentos.";="Jedediah Gislason";="2025-08-29T21:03:52.153Z";"=""6bc7c404-0402-42b7-9f23-bdd8b9db2e89""";"=""Cadastrado com sucesso"""
="Aubree";="Hills";="Aubree Hills";="aubree.hills";="hills.aubree@me.com";="HilAu06";="true";="72249289506";="17856183126";="Aubree Hills LTDA";="88396837000142";="Tiara Estates";="69745";="North Krystina";="Iowa";="90260084";="Uganda";="2673364086762632";="08/28";="Placa de Video Veloz";="3540.27";="Um excelente placa de video veloz da categoria Perifericos, ideal para suas necessidades.";="60";="Perifericos";="Descricao para a categoria Perifericos";="Roteiro Inesquecivel por Patagonia";="Introducao ao topico Roteiro Inesquecivel por Patagonia. Discutimos os conceitos basicos de Patagonia aplicados a Viagens e Turismo.";="Aubree Hills";="2025-08-29T21:03:53.137Z";"=""e682bbe0-b2a0-476f-9698-4f54b54065db""";"=""Cadastrado com sucesso"""
="Bernardo";="Runolfsdottir";="Bernardo Runolfsdottir";="bernardo.runolfsdottir";="runolfsdottir.bernardo@uol.com.br";="RunBe80";="true";="29320485380";="14695491774";="Bernardo Runolfsdottir LTDA";="83840760000134";="Gislason Forge";="490";="Sashatown";="Illinois";="64326473";="Colombia";="2614100765902012";="11/27";="Power Bank Essencial";="414.51";="Um excelente power bank essencial da categoria Redes e Conectividade, ideal para suas necessidades.";="15";="Redes e Conectividade";="Descricao para a categoria Redes e Conectividade";="A Incrivel Jornada ate Nebulosas";="Uma analise sobre o tema A Incrivel Jornada ate Nebulosas. Exploramos a relevancia de Nebulosas para a area de Universo e Astronomia.";="Bernardo Runolfsdottir";="2025-08-29T21:03:54.122Z";"=""c5c53b54-5139-4324-9baf-32530b332fb7""";"=""Cadastrado com sucesso"""
